,full_name,position,team,targets,rec,rec_yards,air_yards,yac,td,adot,racr,ms_air,tgt_share,wopr,ppr
1,Michael Thomas,WR,NO,185,149,1725,1488,583,9,8,1.16,0.4,0.32,0.75,374.6
2,Chris Godwin,WR,TB,121,86,1333,1301,577,9,10.8,1.02,0.23,0.22,0.49,274.1
3,Julio Jones,WR,ATL,157,99,1394,1913,364,6,12.2,0.73,0.37,0.25,0.63,274.1
4,Cooper Kupp,WR,LA,134,94,1161,1007,538,10,7.5,1.15,0.21,0.21,0.46,270.5
5,DeAndre Hopkins,WR,HOU,150,104,1165,1580,387,7,10.5,0.74,0.34,0.3,0.69,264.3
6,Keenan Allen,WR,LAC,149,104,1199,1501,374,6,10.1,0.8,0.3,0.25,0.58,261.5
7,Allen Robinson,WR,CHI,154,98,1147,1750,272,7,11.4,0.66,0.39,0.27,0.67,254.9
8,Julian Edelman,WR,NE,153,100,1117,1473,320,6,9.6,0.76,0.3,0.25,0.58,250.4
9,Kenny Golladay,WR,DET,116,65,1190,1756,304,11,15.1,0.68,0.32,0.2,0.53,250
10,Amari Cooper,WR,DAL,119,79,1189,1485,278,8,12.5,0.8,0.26,0.2,0.48,246.5
11,DeVante Parker,WR,MIA,128,72,1202,1798,263,9,14,0.67,0.33,0.21,0.54,246.2
12,Jarvis Landry,WR,CLE,138,83,1174,1395,436,6,10.1,0.84,0.29,0.26,0.59,237.4
13,Tyler Lockett,WR,SEA,110,82,1057,1364,308,8,12.4,0.77,0.28,0.21,0.51,235.2
14,Robert Woods,WR,LA,139,90,1134,1175,576,2,8.5,0.97,0.25,0.23,0.51,232.9
15,D.J. Moore,WR,CAR,135,87,1175,1499,384,4,11.1,0.78,0.31,0.23,0.56,232.5
16,Mike Evans,WR,TB,118,67,1157,1809,256,8,15.3,0.64,0.35,0.23,0.59,230.7
17,Tyler Boyd,WR,CIN,148,90,1046,1186,423,5,8,0.88,0.25,0.24,0.53,226.9
18,D.J. Chark,WR,JAC,118,73,1008,1358,329,8,11.5,0.74,0.33,0.21,0.55,223.8
19,Courtland Sutton,WR,DEN,124,72,1112,1471,352,6,11.9,0.76,0.41,0.25,0.65,220.9
20,Stefon Diggs,WR,MIN,94,63,1130,1424,302,6,15.1,0.79,0.41,0.21,0.6,218.1
21,A.J. Brown,WR,TEN,84,52,1051,1107,465,8,13.2,0.95,0.29,0.19,0.48,217.1
22,John Brown,WR,BUF,115,72,1060,1688,210,6,14.7,0.63,0.38,0.24,0.63,214.7
23,Davante Adams,WR,GB,127,83,997,1270,388,5,10,0.79,0.33,0.29,0.67,212.7
24,Michael Gallup,WR,DAL,113,66,1107,1376,333,6,12.2,0.8,0.28,0.21,0.51,212.7
25,Odell Beckham,WR,CLE,133,74,1035,1801,326,4,13.5,0.57,0.38,0.25,0.63,202.5
26,Jamison Crowder,WR,NYJ,122,78,833,975,358,6,8,0.85,0.24,0.23,0.52,197.7
27,Calvin Ridley,WR,ATL,93,63,866,1246,138,7,13.4,0.7,0.27,0.17,0.44,195
28,Marvin Jones,WR,DET,91,62,779,1189,106,9,13.1,0.66,0.26,0.19,0.47,193.9
29,Terry McLaurin,WR,WAS,93,58,919,1299,217,7,14,0.71,0.41,0.22,0.62,191.9
30,D.K. Metcalf,WR,SEA,100,58,900,1296,273,7,13,0.69,0.26,0.19,0.47,191.1
31,Deebo Samuel,WR,SF,81,57,802,607,473,3,7.5,1.32,0.2,0.18,0.41,189.1
32,Tyreek Hill,WR,KC,89,58,860,1149,275,7,12.9,0.75,0.38,0.21,0.58,188.3
33,Cole Beasley,WR,BUF,106,67,778,844,330,6,8,0.92,0.19,0.22,0.47,180.8
34,Larry Fitzgerald,WR,ARI,109,75,804,856,343,4,7.9,0.94,0.21,0.2,0.44,179.4
35,Curtis Samuel,WR,CAR,105,54,627,1608,153,6,15.3,0.39,0.3,0.17,0.46,171.7
36,Darius Slayton,WR,NYG,84,48,740,1197,189,8,14.2,0.62,0.28,0.16,0.44,170
37,Christian Kirk,WR,ARI,108,68,709,1079,286,3,10,0.66,0.31,0.23,0.56,166.2
38,Mike Williams,WR,LAC,90,49,1001,1626,187,2,18.1,0.62,0.34,0.16,0.47,161.3
39,Diontae Johnson,WR,PIT,92,59,680,843,305,5,9.2,0.81,0.21,0.18,0.42,161.1
40,Robby Anderson,WR,NYJ,96,52,779,1402,193,5,14.6,0.56,0.34,0.18,0.52,160.3
41,Randall Cobb,WR,DAL,83,55,828,865,329,3,10.4,0.96,0.16,0.15,0.34,156.9
42,Chris Conley,WR,JAC,90,47,775,1276,252,5,14.2,0.61,0.29,0.15,0.43,154.5
43,Golden Tate,WR,NYG,85,49,676,827,284,6,9.7,0.82,0.24,0.21,0.48,154.2
44,Dede Westbrook,WR,JAC,101,66,660,666,317,3,6.6,0.99,0.17,0.19,0.4,152.7
45,Marquise Brown,WR,BAL,71,46,584,782,226,7,11,0.75,0.23,0.18,0.44,146.4
46,Tyrell Williams,WR,OAK,64,42,651,870,190,6,13.6,0.75,0.32,0.15,0.45,143.1
47,Sterling Shepard,WR,NYG,83,57,576,822,179,3,9.9,0.7,0.26,0.22,0.51,139.8
48,Sammy Watkins,WR,KC,90,52,673,882,297,3,9.8,0.76,0.22,0.19,0.44,138.5
49,Breshad Perriman,WR,TB,69,36,645,1128,127,6,16.3,0.57,0.2,0.13,0.33,138.1
50,Danny Amendola,WR,DET,97,62,678,897,207,1,9.2,0.76,0.17,0.18,0.39,135.8
51,James Washington,WR,PIT,80,44,735,1266,185,3,15.8,0.58,0.32,0.16,0.47,135.5
52,Will Fuller,WR,HOU,71,49,670,1011,219,3,14.2,0.66,0.29,0.2,0.51,134
53,Hunter Renfrow,WR,OAK,71,49,605,495,301,4,7,1.22,0.18,0.17,0.37,133.5
54,Zach Pascal,WR,IND,72,41,607,800,235,5,11.1,0.76,0.19,0.14,0.35,133.3
55,Anthony Miller,WR,CHI,85,52,656,887,217,2,10.4,0.74,0.2,0.15,0.36,129.5
56,T.Y. Hilton,WR,IND,68,45,501,697,213,5,10.2,0.72,0.32,0.23,0.57,125.1
57,Alshon Jeffery,WR,PHI,73,43,490,808,111,4,11.1,0.61,0.3,0.23,0.55,122.2
58,Kenny Stills,WR,HOU,55,40,561,587,144,4,10.7,0.96,0.15,0.13,0.3,120.1
59,Brandin Cooks,WR,LA,72,42,583,1004,169,2,13.9,0.58,0.23,0.13,0.35,117.5
60,Mecole Hardman,WR,KC,41,26,538,459,292,6,11.2,1.17,0.09,0.07,0.17,117.5
61,JuJu Smith-Schuster,WR,PIT,70,42,552,707,229,3,10.1,0.78,0.23,0.17,0.42,115.2
62,Corey Davis,WR,TEN,69,43,601,828,241,2,12,0.73,0.23,0.16,0.4,115.1
63,Adam Thielen,WR,MIN,48,30,418,586,117,6,12.2,0.71,0.24,0.17,0.42,114.4
64,Emmanuel Sanders,WR,SF,53,36,502,603,119,3,11.4,0.83,0.29,0.17,0.46,104.2
65,Auden Tate,WR,CIN,80,40,575,920,120,1,11.5,0.62,0.28,0.18,0.46,103.5
66,Steven Sims,WR,WAS,56,34,310,388,172,4,6.9,0.8,0.1,0.12,0.25,103.5
67,Allen Lazard,WR,GB,52,35,477,736,131,3,14.2,0.65,0.19,0.12,0.32,102.8
68,Demarcus Robinson,WR,KC,55,32,449,724,111,4,13.2,0.62,0.16,0.1,0.26,100.9
69,Phillip Dorsett,WR,NE,54,29,397,762,79,5,14.1,0.52,0.21,0.12,0.33,100.8
70,Russell Gage,WR,ATL,74,49,446,525,151,1,7.1,0.85,0.11,0.12,0.26,100.8
71,Alex Erickson,WR,CIN,78,43,529,656,264,0,8.4,0.81,0.14,0.13,0.29,99.2
72,John Ross,WR,CIN,56,28,506,875,198,3,15.6,0.58,0.34,0.18,0.5,97
73,Kendrick Bourne,WR,SF,44,30,358,370,122,5,8.4,0.97,0.11,0.09,0.22,95.8
74,Willie Snead,WR,BAL,46,31,339,409,126,5,8.9,0.83,0.11,0.1,0.23,95.1
75,Nelson Agholor,WR,PHI,69,39,363,775,126,3,11.2,0.47,0.21,0.17,0.41,94
76,Preston Williams,WR,MIA,60,32,428,818,84,3,13.6,0.52,0.31,0.21,0.53,92.8
77,Taylor Gabriel,WR,CHI,48,29,353,556,79,4,11.6,0.63,0.22,0.15,0.37,90.3
78,Albert Wilson,WR,MIA,62,43,351,347,179,1,5.6,1.01,0.08,0.12,0.24,88.6
79,Adam Humphries,WR,TEN,47,37,374,351,120,2,7.5,1.07,0.13,0.14,0.3,86.5
80,Ted Ginn,WR,NO,56,30,421,891,48,2,15.9,0.47,0.25,0.1,0.33,85.9
81,Allen Hurns,WR,MIA,47,32,416,487,116,2,10.4,0.85,0.1,0.09,0.2,85.6
82,Demaryius Thomas,WR,NYJ,58,36,433,558,170,1,9.6,0.78,0.19,0.16,0.37,85.3
83,Marquez Valdes-Scantling,WR,GB,56,26,452,954,151,2,17,0.47,0.2,0.1,0.29,84.1
84,Tajae Sharpe,WR,TEN,35,25,329,498,58,4,14.2,0.66,0.14,0.09,0.24,81.9
85,Bisi Johnson,WR,MIN,45,31,294,492,68,3,10.9,0.6,0.16,0.11,0.28,79
86,Emmanuel Sanders,WR,DEN,44,30,367,425,118,2,9.7,0.86,0.27,0.19,0.47,78.7
87,Keelan Cole,WR,JAC,35,24,361,374,99,3,10.7,0.97,0.11,0.08,0.2,78.7
88,Geronimo Allison,WR,GB,55,34,287,411,110,2,7.5,0.7,0.09,0.1,0.21,75.4
89,Damiere Byrd,WR,ARI,46,32,359,458,150,1,10,0.78,0.16,0.12,0.29,73.9
90,Tre'Quan Smith,WR,NO,25,18,234,226,111,5,9,1.04,0.09,0.07,0.16,71.4
91,Mohamed Sanu,WR,ATL,42,33,313,290,123,1,6.9,1.08,0.12,0.14,0.3,70.6
92,Kelvin Harmon,WR,WAS,44,30,365,512,94,0,11.6,0.71,0.15,0.1,0.25,66.5
93,Cody Latimer,WR,NYG,42,24,300,516,69,2,12.3,0.58,0.12,0.08,0.2,66
94,Paul Richardson,WR,WAS,42,28,245,409,50,2,9.7,0.6,0.19,0.15,0.35,64.5
95,DaeSean Hamilton,WR,DEN,52,28,297,438,128,1,8.4,0.68,0.14,0.12,0.28,63.7
96,Isaiah McKenzie,WR,BUF,39,27,254,169,206,1,4.3,1.5,0.05,0.1,0.19,63.3
97,Jakobi Meyers,WR,NE,41,26,359,422,114,0,10.3,0.85,0.12,0.09,0.22,61.9
98,Josh Reynolds,WR,LA,43,21,326,467,139,1,10.9,0.7,0.1,0.07,0.17,61.9
99,David Moore,WR,SEA,34,17,301,482,128,2,14.2,0.62,0.11,0.07,0.19,61.6
100,Seth Roberts,WR,BAL,35,21,271,330,70,2,9.4,0.82,0.1,0.09,0.21,60.1
101,Jarius Wright,WR,CAR,58,28,296,610,93,0,10.5,0.49,0.12,0.09,0.22,56.9
102,Pharoh Cooper,WR,ARI,33,25,243,336,70,1,10.2,0.72,0.12,0.09,0.21,55.5
103,Josh Gordon,WR,NE,36,20,287,355,126,1,9.9,0.81,0.19,0.15,0.37,54.8
104,Keke Coutee,WR,HOU,36,22,254,272,140,0,7.6,0.93,0.1,0.12,0.26,54.8
105,Mohamed Sanu,WR,NE,47,26,207,390,71,1,8.3,0.53,0.16,0.15,0.34,53.5
106,Trey Quinn,WR,WAS,47,26,198,324,61,1,6.9,0.61,0.12,0.13,0.29,51.8
107,Miles Boykin,WR,BAL,22,13,198,378,12,3,17.2,0.52,0.12,0.06,0.18,50.8
108,Vyncint Smith,WR,NYJ,31,17,225,378,105,0,12.2,0.6,0.11,0.07,0.18,50.7
109,Jaron Brown,WR,SEA,28,16,220,250,65,2,8.9,0.88,0.08,0.08,0.18,50
110,Chester Rogers,WR,IND,28,16,179,239,69,2,8.5,0.75,0.1,0.09,0.2,47.7
111,Tavon Austin,WR,DAL,24,13,177,317,85,1,13.2,0.56,0.06,0.04,0.11,47.4
112,KeeSean Johnson,WR,ARI,42,21,187,366,43,1,8.7,0.51,0.14,0.12,0.27,46
113,Malik Turner,WR,SEA,22,15,245,264,101,1,12,0.93,0.07,0.06,0.14,45.5
114,Bennie Fowler,WR,NYG,36,23,193,370,29,0,10.3,0.52,0.16,0.11,0.29,44.3
115,Justin Watson,WR,TB,26,15,159,352,14,2,13.5,0.45,0.09,0.07,0.17,42.9
116,Javon Wims,WR,CHI,39,18,186,463,45,1,11.9,0.4,0.15,0.09,0.25,42.6
117,Jakeem Grant,WR,MIA,33,19,164,406,87,0,12.3,0.4,0.14,0.1,0.25,41.9
118,Scott Miller,WR,TB,26,13,200,465,36,1,17.9,0.43,0.12,0.07,0.19,40.6
119,Parris Campbell,WR,IND,24,18,127,198,96,1,8.2,0.64,0.11,0.1,0.24,40.1
120,Jake Kumerow,WR,GB,21,12,219,317,85,1,15.1,0.69,0.09,0.05,0.14,39.9
121,Marvin Hall,WR,DET,11,7,261,304,36,1,27.6,0.86,0.12,0.05,0.15,39.8
122,N'Keal Harry,WR,NE,24,12,105,224,42,2,9.3,0.47,0.1,0.09,0.21,39.4
123,Justin Hardy,WR,ATL,26,19,195,199,81,0,7.7,0.98,0.05,0.05,0.11,38.5
124,Marquise Goodwin,WR,SF,21,12,186,281,33,1,13.4,0.66,0.16,0.08,0.23,38.1
125,Damion Ratley,WR,CLE,24,12,200,307,47,1,12.8,0.65,0.11,0.08,0.2,38
126,Tim Patrick,WR,DEN,31,16,218,315,38,0,10.2,0.69,0.16,0.12,0.3,37.8
127,DeSean Jackson,WR,PHI,10,9,159,147,15,2,14.7,1.08,0.23,0.13,0.35,36.9
128,Andy Isabella,WR,ARI,13,9,189,82,140,1,6.3,2.3,0.03,0.03,0.07,35.4
129,Byron Pringle,WR,KC,16,12,170,178,63,1,11.1,0.96,0.04,0.04,0.08,35
130,Zay Jones,WR,OAK,27,20,147,234,58,0,8.7,0.63,0.11,0.08,0.2,35
131,Duke Williams,WR,BUF,19,12,166,210,50,1,11.1,0.79,0.2,0.14,0.36,34.6
132,Dante Pettis,WR,SF,24,11,109,185,23,2,7.7,0.59,0.1,0.09,0.2,33.9
133,Laquon Treadwell,WR,MIN,16,9,184,190,57,1,11.9,0.97,0.08,0.05,0.13,33.4
134,J.J. Arcega-Whiteside,WR,PHI,22,10,169,392,16,1,17.8,0.43,0.13,0.06,0.17,32.9
135,Kalif Raymond,WR,TEN,12,9,170,219,14,1,18.2,0.78,0.1,0.05,0.15,31.5
136,Cordarrelle Patterson,WR,CHI,17,11,83,84,72,0,4.9,0.99,0.02,0.03,0.06,29.6
137,Trevor Davis,WR,OAK,10,7,83,82,55,0,8.2,1.01,0.04,0.04,0.08,28.6
138,Richie James,WR,SF,10,6,165,119,103,1,11.9,1.39,0.04,0.02,0.06,28.4
139,DeAndre Carter,WR,HOU,14,11,162,151,57,0,10.8,1.07,0.03,0.03,0.06,27.2
140,Keelan Doss,WR,OAK,14,11,133,124,57,0,8.9,1.07,0.1,0.07,0.18,24.3
141,Mack Hollins,WR,PHI,22,10,125,293,33,0,13.3,0.43,0.09,0.07,0.16,22.5
142,Devin Smith,WR,DAL,9,5,113,179,32,1,19.9,0.63,0.18,0.09,0.27,22.3
143,Dontrelle Inman,WR,LAC,13,8,132,197,31,0,15.2,0.67,0.15,0.09,0.24,21.2
144,Josh Gordon,WR,SEA,11,7,139,197,16,0,17.9,0.71,0.12,0.07,0.2,20.9
145,Olamide Zaccheaus,WR,ATL,5,3,115,69,63,1,13.8,1.67,0.04,0.02,0.06,20.5
146,Christian Blake,WR,ATL,24,11,91,182,24,0,7.6,0.5,0.08,0.08,0.18,20.1
147,Brandon Zylstra,WR,CAR,12,8,106,160,10,0,13.3,0.66,0.09,0.06,0.15,18.6
148,Braxton Berrios,WR,NYJ,13,6,115,132,87,0,10.2,0.87,0.03,0.02,0.06,17.5
149,Antonio Callaway,WR,CLE,15,8,89,153,44,0,10.2,0.58,0.14,0.11,0.26,16.9
150,Marcell Ateman,WR,OAK,10,5,116,154,19,0,15.4,0.75,0.14,0.07,0.2,16.6
151,Rashard Higgins,WR,CLE,11,4,55,116,9,1,10.5,0.47,0.06,0.04,0.11,15.5
152,Chris Hogan,WR,CAR,15,8,67,122,29,0,8.1,0.55,0.05,0.05,0.12,14.7
153,Zay Jones,WR,BUF,18,7,69,250,19,0,13.9,0.28,0.18,0.12,0.31,13.9
154,Riley Ridley,WR,CHI,7,6,69,62,15,0,8.9,1.11,0.07,0.06,0.13,12.9
155,Robert Foster,WR,BUF,18,3,64,451,32,0,25.1,0.14,0.15,0.06,0.19,12.3
156,Deon Cain,WR,PIT,6,5,72,84,11,0,14,0.86,0.07,0.04,0.11,12.2
157,Trent Sherfield,WR,ARI,13,4,80,195,10,0,15,0.41,0.07,0.04,0.11,12
158,Andre Patton,WR,LAC,17,6,56,299,28,0,17.6,0.19,0.13,0.05,0.17,11.6
159,KhaDarel Hodge,WR,CLE,10,4,76,161,9,0,16.1,0.47,0.04,0.02,0.07,11.6
160,Deonte Harris,WR,NO,6,6,24,-13,37,0,-2.2,-1.85,0,0.01,0.01,11.5
161,Ryan Switzer,WR,PIT,11,8,27,17,17,0,1.5,1.59,0.01,0.04,0.06,10.7
162,Diontae Spencer,WR,DEN,8,6,31,49,33,0,6.1,0.63,0.01,0.02,0.03,9.7
163,Ced Wilson,WR,DAL,8,5,46,134,11,0,16.8,0.34,0.09,0.05,0.14,9.6
164,Deon Cain,WR,IND,14,4,52,143,11,0,10.2,0.36,0.11,0.07,0.18,9.2
165,DeAndrew White,WR,CAR,9,4,51,133,28,0,14.8,0.38,0.05,0.03,0.07,9.1
166,Chad Beebe,WR,MIN,2,2,70,2,66,0,1,35,0,0.03,0.05,9
167,Travis Benjamin,WR,LAC,16,6,30,214,19,0,13.4,0.14,0.12,0.08,0.2,9
168,Dontrelle Inman,WR,IND,8,4,49,77,11,0,9.6,0.64,0.1,0.09,0.21,8.9
169,Ventell Bryant,WR,DAL,1,1,15,15,0,1,15,1,0.01,0,0.01,8.5
170,Geremy Davis,WR,LAC,3,3,38,36,2,0,12,1.06,0.02,0.01,0.03,6.8
171,Jason Moore,WR,LAC,5,2,43,119,6,0,23.8,0.36,0.05,0.02,0.07,6.3
172,Devin Funchess,WR,IND,5,3,32,49,6,0,9.8,0.65,0.31,0.19,0.49,6.2
173,Johnny Holton,WR,PIT,15,3,21,377,10,0,25.1,0.06,0.12,0.04,0.14,6
174,Cody Core,WR,NYG,5,3,28,32,3,0,6.4,0.88,0.02,0.02,0.04,5.8
175,Donte Moncrief,WR,PIT,15,4,18,202,3,0,13.5,0.09,0.16,0.11,0.27,5.8
176,Andre Roberts,WR,BUF,7,3,20,109,5,0,15.6,0.18,0.03,0.02,0.05,5.7
177,Steven Mitchell,WR,HOU,6,2,37,101,14,0,16.8,0.37,0.21,0.09,0.29,5.7
178,Russell Shepard,WR,NYG,8,3,25,72,13,0,9,0.35,0.1,0.1,0.22,5.5
179,Gunner Olszewski,WR,NE,4,2,34,24,16,0,6,1.42,0.01,0.01,0.03,5.4
180,Ryan Grant,WR,OAK,9,4,14,35,5,0,3.9,0.4,0.08,0.14,0.26,5.4
181,C.J. Board,WR,JAC,4,2,31,31,6,0,7.8,1,0.05,0.05,0.11,5.1
182,Chris Moore,WR,BAL,5,3,21,61,10,0,12.2,0.34,0.04,0.03,0.07,5.1
183,Marqise Lee,WR,JAC,4,3,18,18,5,0,4.5,1,0.02,0.03,0.05,4.9
184,Stanley Morgan,WR,CIN,10,3,18,57,10,0,5.7,0.32,0.03,0.04,0.07,4.8
185,Fred Brown,WR,DEN,3,2,21,34,0,0,11.3,0.62,0.03,0.02,0.05,4.1
186,Josh Bellamy,WR,NYJ,3,2,20,23,10,0,7.7,0.87,0.03,0.02,0.05,4
187,Trevor Davis,WR,GB,1,1,28,18,10,0,18,1.56,0.03,0.02,0.05,3.8
188,Ashton Dulin,WR,IND,2,2,17,-6,23,0,-3,-2.83,0,0.01,0.01,3.7
189,Michael Walker,WR,JAC,3,2,15,12,7,0,4,1.25,0.01,0.01,0.02,3.5
190,Mike Thomas,WR,LA,5,2,14,51,10,0,10.2,0.27,0.03,0.02,0.05,3.4
191,John Ursua,WR,SEA,1,1,11,11,0,0,11,1,0.04,0.02,0.07,2.1
192,Austin Carr,WR,NO,4,1,9,41,4,0,10.2,0.22,0.08,0.05,0.13,1.9
193,Dwayne Harris,WR,OAK,1,1,7,0,7,0,0,Inf,0,0.01,0.02,1.7
194,Jaleel Scott,WR,BAL,3,1,6,39,6,0,13,0.15,0.29,0.14,0.42,1.6
195,Krishawn Hogan,WR,NO,1,1,4,2,2,0,2,2,0.01,0.02,0.04,1.4
196,Quincy Enunwa,WR,NYJ,3,1,-4,47,-4,0,15.7,-0.09,0.21,0.07,0.26,0.6
197,Greg Dortch,WR,CAR,0,0,0,0,0,0,NA,NA,0,0,0,0
198,JoJo Natson,WR,LA,0,0,0,0,0,0,NA,NA,0,0,0,0
199,Juwann Winfree,WR,DEN,0,0,0,0,0,0,NA,NA,0,0,0,0
200,Mack Hollins,WR,MIA,1,0,0,33,0,0,33,0,0.03,0.01,0.03,0
201,Matthew Slater,WR,NE,0,0,0,0,0,0,NA,NA,0,0,0,0
202,Taywan Taylor,WR,CLE,1,0,0,33,0,0,33,0,0.05,0.02,0.06,0
203,Trevor Davis,WR,MIA,0,0,0,0,0,0,NA,NA,0,0,0,0
